,Year,Month,Day,Trial,Ablation,Darkness,Flow,Fish,Tailbeat_Num,Fish1_X,Fish1_Y,Fish2_X,Fish2_Y,X_Distance,Y_Distance,Distance,Angle,Heading_Diff,Fish1_Speed,Fish2_Speed,Speed_Diff,Spatial_Auto,Sync
0,2021,10,06,34,Y,N,2,individual4xindividual1,0,1106.2345789473684,134.08394736842106,499.0880419263127,354.18880273325533,3.145836979383708,1.1404396651027684,3.346175866657,19.931293363062384,14.001623804645202,2.199545251392691,2.2027567472607745,-0.0032114958680828803,,0.9192056700248105
1,2021,10,06,34,Y,N,2,individual4xindividual1,1,,,506.45978947368417,373.179052631579,,,,,,,1.8318740569029652,,,0.604980015945546
2,2021,10,06,34,Y,N,2,individual4xindividual1,2,1043.9838947368423,132.92447368421054,599.7304210526315,408.9321052631579,2.301831469866376,1.4300913553313335,2.7099057917685276,32.54409355982648,91.56001390600413,2.537852934226375,2.593537701090719,-0.05568476686434377,-0.6639127716382854,0.5973479303485317
3,2021,10,06,34,Y,N,2,individual4xindividual1,3,1025.8812631578946,130.26468421052633,,,,,,,,2.1546931680008967,,,,0.5850838150675415
4,2021,10,06,34,Y,N,2,individual4xindividual1,4,1027.774789473684,124.31126315789473,,,,,,,,1.7745495357731291,,,,0.4277347588156809
5,2021,10,06,34,Y,N,2,individual4xindividual1,5,1049.7622631578947,131.05594736842104,1075.7848421052631,352.756,-0.13483201527133892,1.1487049359149168,1.1565909830780385,97.01255089072514,138.12753972231138,1.6027458228404916,0.9718881072959952,0.6308577155444967,0.6170141042952413,0.5339676970501746
6,2021,10,06,34,Y,N,2,individual4xindividual1,6,1071.4599473684211,137.6012105263158,1116.681894736842,302.0052631578947,-0.23431060812653404,0.8518344695936734,0.8834723678013711,105.51465964533729,,1.7084689265762498,1.940483464763231,-0.23201453818698137,0.17028391047969216,0.7160813054521636
7,2021,10,06,34,Y,N,2,individual4xindividual1,7,1093.1664210526317,143.0176842105263,1134.0605789473684,268.5353684210527,-0.21188682847013918,0.6503506953913281,0.6839971162769023,107.80819266732196,,1.6580305088311733,2.323102658037166,-0.6650721492059932,,0.7703960069901568
0,2021,10,06,34,Y,N,2,individual5xindividual1,0,861.4982105263158,179.88873684210526,499.0880419263127,354.18880273325533,1.8777728943005338,0.9031091496950779,2.083659564044177,25.699890514953037,10.38071388156193,2.25911039353891,2.2027567472607745,0.056353646278135563,,0.10600295718421109
1,2021,10,06,34,Y,N,2,individual5xindividual1,1,849.2544736842106,179.90910526315787,506.45978947368417,373.179052631579,1.7761382601581674,1.001398691028088,2.0389866251622277,29.4266459121097,15.357980272874425,2.1162608703136625,1.8318740569029652,0.28438681341069766,,0.017809447736170745
2,2021,10,06,34,Y,N,2,individual5xindividual1,2,845.0975263157895,181.01973684210526,599.7304210526315,408.9321052631579,1.27133215162258,1.1808931006272154,1.7351639561892291,44.19015035637512,94.04830668727898,1.9126628336336706,2.593537701090719,-0.6808748674570487,,0.19880747076681665
3,2021,10,06,34,Y,N,2,individual5xindividual1,3,854.8322105263159,185.8547894736842,,,,,,,,1.8594035965296325,,,,0.39901164489085483
4,2021,10,06,34,Y,N,2,individual5xindividual1,4,870.8187894736842,190.92747368421053,,,,,,,,1.6255391388205334,,,,0.45808208364076536
5,2021,10,06,34,Y,N,2,individual5xindividual1,5,895.7816315789473,191.30589473684213,1075.7848421052631,352.756,-0.9326591218980094,0.8365290428142895,1.2528503011658485,137.81783994318852,132.92974095777421,1.6801141421102055,0.9718881072959952,0.7082260348142103,0.5195186624579972,0.49335272437533284
